"S.No.","is_soft_skill","is_behavioral_skill","synon_skill","skill_cluster","skill_description","skill_keyword","skill_type","digital_product"
"1","False","False","Java","Programming Languages and Algorithms","Java is a class-based, object-oriented programming language and software platform that is used to create distributed applications that operate over the internet.","java;corejava;core java;embedded java","",""
"2","False","False","Digital Signal Processing","Signal Processing","Digital Signal Processing is a discipline of electronics and telecommunications engineering that deals with improving the reliability and accuracy of digital communication via the use of various approaches.","digital signal processing","",""
"3","False","False","Perl","Programming Skills","Perl is a scripting language developed for text manipulation, analysis of the strings and various software related tasks.","perl (programming language);perl","",""
"4","False","False","Embedded System","Semiconductor & Embedded Systems","Embedded System is a computer hardware system with a microprocessor or microcontroller that is programmed to execute a specific function.","embedded system design","",""
"5","False","False","mmWave","5G Technologies","mmWave is an electromagnetic spectrum band that includes point-to-point wireless local area networks and internet access. It is utilised for a services on mobile and wireless networks and it allows forvdata rates at lower frequencies.","mmwave;millimeter wave;millimeterwave;millimeter-wave","",""
"6","False","False","Spacewalk","Software Documentation","Spacewalk is an open source linux systems management solution that allows inventory management, and software updates that manage and deploys configuration files.","spacewalk software","",""
"7","False","False","Microsoft Access","Database Skills","Microsoft Access is a database management system for storing and managing information.","ms access;microsoft access","",""
"8","False","False","NetApp storage","Data Engineering And Analytics","NetApp storage is a hardware and software based data storage and retrieval system that responds to network requests from clients and fulfills them by writing data or retrieving data from disk arrays.","netapp storage","",""
"9","False","False","Quartz","Software Development","Quartz Scheduling System is a java-based open source task scheduling system ,which manages the application runtime in a software","quartz scheduler","",""
"10","False","False","SAP Security","Application And Enterprise Security","SAP Security is a technological module that operates within systems, applications & products systems to provide access where it is required while restricting access where it is not.","sap security","",""
"11","False","False","ADP Payforce","Human Resource Management","ADP Payforce is a payroll software system developed for cost-effective corporate efficiency. It provides the expanding business with the levels of data protection, privacy, compliance, and peace of mind.","adp payforce;adppayforce;payforce","",""
"12","False","False","ArcPy","Spatial Analysis & Geographic Information Systems","ArcPy is a site-package that extends arcgis scripting module which is used to lay the groundwork for a practical approach and to utilise python for geographic data analysis, data translation, data management, and map automation.","arcpy","",""
"13","False","False","Autotask","Business Management","Autotask is a technology platform that conducts business operations, allowing technology solution providers with clients to employ network infrastructures.","autotask psa","",""
