id,location_name,emerging,cost_class,country_id,modified_by,state_id,created_by,created_on,modified_on,talent_flag,latitude,longitude
1,"Kalyan Area, India",Yes,Low Cost,10.0,iris1,1.0,,2019-06-07 19:36:30.206033,2019-11-27 16:04:14.979777,False,19.2403305,73.1305395
6991,"Odense Area, Denmark",No,High Cost,32.0,iris1,3429.0,saraswathis,2021-03-16 11:30:10.798902,2021-03-16 11:30:10.798971,False,55.40375599999999,10.40237
8,"Anapolis Area, Brazil",Yes,Low Cost,3.0,iris1,13.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:14.144581,False,-16.3286427,-48.9534334
9524,"Darkhan-Uul, Mongolia",Yes,Low Cost,125.0,Vigneshwarans,5269.0,saraswathis,2021-05-18 04:25:26.220688,2021-11-19 08:00:03.547268,False,49.448929,106.2325245
13063,"Slave Lake Area, Canada",No,High Cost,4.0,iris1,37.0,Yuvraj,2022-04-25 04:16:26.982541,2022-04-25 04:16:26.982595,False,55.27238819999999,-114.7801407
1829,"Greater Sankt Polten, Austria",No,High Cost,24.0,Yuvraj,652.0,tamilmani,2020-04-13 05:41:30.659075,2022-07-19 08:09:37.623303,False,48.20353,15.63817
16,"Limeira Area, Brazil",Yes,Low Cost,3.0,iris1,17.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:14.575182,False,-22.5838264,-47.4097695
18,"Piracicaba Area, Brazil",Yes,Low Cost,3.0,iris1,17.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:14.675957,False,-22.7355889,-47.6478542
1826,"Greater Vienna, Austria",No,High Cost,24.0,Yuvraj,649.0,tamilmani,2020-04-13 05:41:29.954735,2022-07-19 08:09:37.764859,False,48.2081743,16.3738189
24,"Sao Carlos Area, Brazil",Yes,Low Cost,3.0,iris1,24.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:14.990371,False,-22.0087082,-47.8909263
26,"Sao Pedro Area, Brazil",Yes,Low Cost,3.0,iris1,17.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:15.096566,False,-22.5651524,-47.9274852
27,"Sorocaba Area, Brazil",Yes,Low Cost,3.0,iris1,17.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:15.153614,False,-23.4557103,-47.4882762
7024,"Ebonyi, Nigeria",Yes,Low Cost,53.0,iris1,3462.0,saraswathis,2021-03-18 11:15:58.625698,2021-03-18 11:15:58.625801,False,6.177973,7.959286299999999
7025,"Ekiti, Nigeria",Yes,Low Cost,53.0,iris1,3463.0,saraswathis,2021-03-18 11:15:58.790415,2021-03-18 11:15:58.790517,False,7.665581299999999,5.3102505
10456,"Zigong, China",Yes,Low Cost,5.0,iris1,52.0,saraswathis,2021-06-08 10:43:46.283997,2021-06-08 10:43:46.284047,False,29.33903,104.778442
5936,"Central Greece, Greece",Yes,Low Cost,35.0,Vigneshwarans,2671.0,saraswathis,2021-01-22 11:36:40.966381,2021-11-29 08:09:07.937435,False,38.6073508,22.715671
10457,"Ayr, United Kingdom",No,High Cost,19.0,iris1,294.0,saraswathis,2021-06-08 10:43:46.831894,2021-06-08 10:43:46.831943,False,55.458564,-4.629179000000001
7026,"Akkalkuwa Area, India",Yes,Low Cost,10.0,iris1,1.0,saraswathis,2021-03-18 11:15:59.469288,2021-03-18 11:15:59.469366,False,21.5546245,74.0159499
